Business Unit,Name,Open,F=Fulfillment,Address,City,State/Province,Country,Zip, SqFt,Month,Year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
"Amazon.com.azdc, Inc.",PHX3,Y,F,6835 West Buckeye Road,Phoenix,Arizona,USA,85043-4428,"1,009,351",September,2007,33.433218,-112.206616,1,rooftop,6835,W Buckeye Rd,Phoenix,AZ,Maricopa County,85043,US
"Amazon.com.azdc, Inc.",PHX5,Y,F,16920 W. Commerce Dr. ,Goodyear,Arizona,USA,85338-3620,"820,384",June,2008,33.412041,-112.421795,1,rooftop,16920,W Commerce Dr,Goodyear,AZ,Maricopa County,85338,US
"Amazon.com.azdc, Inc.","PHX6/TFC1",Y,F,4750 & 5050 West Mohave Street,Phoenix,Arizona,USA,85043-4428,"1,207,000",October,2010,33.431905,-112.196998,0.33,place,,,Phoenix,AZ,Maricopa County,85043,US
"Amazon.com.azdc, LLC","PHX7/PHX8",Y,F,800 N. 75th Ave,Phoenix,Arizona,USA,85043-3101,"1,260,000",September,2011,33.457008,-112.225361,0.7,rooftop,800,N 75th Ave,Phoenix,AZ,Maricopa County,85043,US
"Amazon.com.azdc, LLC",PHX9,Y,F,777 S 79th Ave,Tolleson,Arizona,USA,85353,"580,142",October ,2015,33.451675,-112.229531,0.8,street_center,,N 79th Ave,Tolleson,AZ,Maricopa County,85353,US
"Amazon.com.azdc, LLC",XUSH,Y,F,7037 West Van Buren Street ,Phoenix,Arizona,USA,85043,"552,330",October,2015,33.450089,-112.21008,1,rooftop,7037,W Van Buren St,Phoenix,AZ,Maricopa County,85043,US
Golden State FC LLC,"ONT2/ONT3",Y,F,"1910 E. Central Ave., Building 3",San Bernardino,California,USA,92408-0123,"951,660",October,2012,34.088182,-117.246006,1,rooftop,1910,E Central Ave,San Bernardino,CA,San Bernardino County,92408,US
Golden State FC LLC,ONT6,Y,F,24208 San Michelle Rd,Moreno Valley,California,USA,92551-9561 ,"1,250,000",August,2014,33.870233,-117.226123,0.8,street_center,,San Michele Rd,Moreno Valley,CA,Riverside County,92551,US
Golden State FC LLC,ONT8,Y,F,24300 Nandina Ave,Moreno Valley,California,USA,92553,"769,320",August,2014,33.866652,-117.236702,1,range_interpolation,24300,Nandina Ave,Moreno Valley,CA,Riverside County,92551,US
Golden State FC LLC,ONT9,Y,F,2125 W. San Bernardino Ave,Redlands,California,USA,92374-5005,"777,620",October,2014,34.075731,-117.228357,1,rooftop,2125,W San Bernardino Ave,Redlands,CA,San Bernardino County,92374,US
Golden State FC LLC,LGB4,Y,F,27517 Pioneer Ave,Redlands,California,USA,92374-1501,"750,000",June,2017,34.079261,-117.202652,1,rooftop,27517,Pioneer Ave,Redlands,CA,San Bernardino County,92374,US
Golden State FC LLC,"SNA6/SNA9",Y,F,5250 Goodman Way,Eastvale,California,USA,91752-5088,"1,033,192",October,2016,33.932644,-117.442459,0.8,street_center,,Goodman St,Riverside,CA,Riverside County,92503,US
Golden State FC LLC,,N,F,"Goodman Commerce Center, Antu-Galleano Ranch Road Exit on the I-15",Eastvale,California,USA,91752,"1,000,000",,2018,33.932644,-117.442459,1,street_center,,Goodman St,Riverside,CA,Riverside County,92503,US
Golden State FC LLC,"SNA7/SNA8",Y,F,"555 East Orange Road, Gateway South Building 3",San Bernardino,California,USA,92408-2453,"1,102,639",March,2016,34.120541,-117.27432,1,range_interpolation,555,E Orange St,San Bernardino,CA,San Bernardino County,92410,US
Golden State FC LLC,SMF1,N,F,4900 W Elkhorn Blvd,Sacramento,California,USA,95835-9505,"855,000",Q3,2017,38.685661,-121.541789,0.8,street_center,,W Elkhorn Blvd,Sacramento,CA,Sacramento County,95835,US
Golden State FC LLC,OAK3,Y,F,255 Park Center Drive,Patterson,California,USA,95363-8876,"1,000,000",October,2013,37.306326,-121.034472,0.8,street_center,,Park Cir,Newman,CA,Stanislaus County,95360,US
Golden State FC LLC,"OAK4OAK6OAK7",Y,F,1555 N. Chrisman Rd.,Tracy,California,USA,95304-9370,"1,200,000",October,2013,37.705141,-121.398082,0.8,street_center,,S Chrisman Rd,Banta,CA,San Joaquin County,95304,US
Golden State FC LLC,SJC7,Y,F,188 Mountain House Parkway,Tracy,California,USA,95377-8906 ,"1,001,380",October,2016,37.767176,-121.531719,0.8,street_center,,Mountain House Pkwy,Tracy,CA,San Joaquin County,95377,US
Golden State FC LLC,XUSD,Y,F,1909 Zephyr Street,Stockton,California,USA,95206,"508,000",October,2013,37.916746,-121.251564,1,range_interpolation,1909,Zephyr St,Stockton,CA,San Joaquin County,95206,US
Golden State FC LLC,SNA4,Y,F,2496 W Walnut Ave.,Rialto,California,USA,92376-3009,"882,200",November,2015,34.128822,-117.360069,0.8,street_center,,E Walnut Ave,Rialto,CA,San Bernardino County,92376,US
Golden State FC LLC,XUSJ,Y,F,1590 N Tamarind Ave.,Rialto,California,USA,92376,"543,400",September,2016,34.127184,-117.425085,1,rooftop,1590,N Tamarind Ave,Rialto,CA,San Bernardino County,92376,US
Golden State FC LLC,,N,F,17871 Von Karman Ave.,Irvine,California,USA,92614,"187,817",,2017,33.684374,-117.847562,1,range_interpolation,17871,Von Karman Ave,Irvine,CA,Orange County,92614,US
Golden State FC LLC,,N,F,South Orange Avenue near Central Avenue,Fresno,California,USA,,"855,000",July,2018,36.701445,-119.763699,1,street_center,,S Orange Ave,Fresno,CA,Fresno County,93725,US
Golden State FC LLC,DEN1,N,F,Northeast corner of Interstate 25 and East 144th Avenue,Thornton,Colorado,USA,,"855,000",August ,2018,39.868041,-104.971924,0.9,place,,,Thornton,CO,Adams County,80229,US
Golden State FC LLC,DEN2,N,F,240006 E. 19th Avenue,Aurora,Colorado,USA,80019,"1,000,000",December ,2017,39.745749,-104.851697,0.8,street_center,,E 19th Ave,Aurora,CO,Adams County,80010,US
"Amazon.com.dedc, Inc.",BDL1,Y,F,801 Day Hill Road,Windsor,Connecticut,USA,6095,"1,017,517",June,2015,41.873602,-72.707537,1,rooftop,801,Day Hill Rd,Windsor,CT,Hartford County,6095,US
Amazon.com.kydc LLC,BDL2,N,F,409 Washington Ave,North Haven,Connecticut,USA,6473,"855,000",,2018,41.413797,-72.848531,1,rooftop,409,Washington Ave,North Haven,CT,New Haven County,6473,US
"Amazon.com.dedc, Inc.",PHL1,Y,F,1 Centerpoint Blvd,New Castle,Delaware,USA,19720-4172,"202,000",November,1997,39.663984,-75.590233,0.9,rooftop,1,Centerpoint Bl,New Castle,DE,New Castle County,19720,US
"Amazon.com.dedc, Inc.","PHL7/PHL9",Y,F,560 Merrimac Ave,Middletown,Delaware,USA,19709-4652,"800,000",October,2012,39.438652,-75.73318,1,rooftop,560,Merrimac Ave,Middletown,DE,New Castle County,19709,US
"Amazon.com.dedc, Inc.",TPA1,Y,F,3350 Laurel Ridge Ave,Ruskin,Florida,USA,33570-5526,"1,017,550",Q4,2014,27.726978,-82.387839,1,rooftop,3350,Laurel Ridge Ave,Ruskin,FL,Hillsborough County,33570,US
"Amazon.com.dedc, Inc.",TPA2,Y,F,1760 County Line Rd. ,Lakeland,Florida,USA,33811-1808,"1,000,000",August,2014,28.020315,-82.053122,1,rooftop,1760,County Line Rd,Lakeland,FL,Polk County,33811,US
"Amazon.com.dedc, Inc.",XUSF,Y,F,"901 W Landstreet Rd, Suite C",Orlando,Florida,USA,32824-8028,"180,000",July,2014,28.437588,-81.391902,1,rooftop,901,W Landstreet Rd,Orlando,FL,Orange County,32824,US
"Amazon.com.dedc, Inc.",JAX2,N,F,12900 Pecan Park Road,Jacksonville,Florida,USA,32218-2432,"855,000",Q4,2017,30.466415,-81.677518,1,rooftop,12900,Pecan Park Rd,Jacksonville,FL,Duval County,32218,US
"Amazon.com.dedc, Inc.",JAX3,N,F,13333 103rd St. ,Jacksonville,Florida,USA,32221-8686,"1,016,041",Q4,2017,30.247654,-81.865532,1,rooftop,13333,103rd St,Jacksonville,FL,Duval County,32221,US
"Amazon.com.dedc, Inc.",MIA1,N,F,"The Carrie Meek International Business Park, Curtiss Street & NW 42nd Ave ",Opa-locka,Florida,USA,33054,"855,000",Q4,2017,25.92065,-80.236993,0.8,place,,,Opa Locka,FL,Miami-Dade County,33054,US
"Amazon.com.dedc, Inc.",MCO1,N,F,Boggy Creek Road,Orlando,Florida,USA,32824,"855,000",Q4,2018,28.4123,-81.343477,1,street_center,,Boggy Creek Rd,Orlando,FL,Orange County,32824,US
"Amazon.com.dedc, Inc.",ATL7,Y,F,6855 Shannon Parkway,Union City,Georgia,USA,30291,"517,080",February,2015,33.568769,-84.539411,1,range_interpolation,6855,Shannon Pkwy,Union City,GA,Fulton County,30291,US
"Amazon.com.dedc, Inc.",ATL8,Y,F,2201 Thornton Road,Lithia Springs,Georgia,USA,30122-3895,"733,200",November,2015,33.786109,-84.615814,0.8,street_center,,Thornton Way,Lithia Springs,GA,Douglas County,30122,US
"Amazon.com.dedc, Inc.",MGE1,Y,F,650 Broadway Ave.,Braselton,Georgia,USA,30517-3002,"613,000",October,2016,34.105418,-83.777042,1,range_interpolation,650,Broadway Ave,Braselton,GA,Jackson County,30517,US
"Amazon.com.dedc, Inc.",MGE3,N,F,"808 Hog Mountain Road, Building F",Jefferson,Georgia,USA,30549,"822,257",July,2017,34.15995,-83.631204,1,range_interpolation,808,Hog Mountain Rd,Jefferson,GA,Jackson County,30549,US
"Amazon.com.dedc, Inc.",,N,F,4995 Skipper Road,Macon,Georgia,USA,31216,"1,016,000",October,2018,32.737209,-83.718476,0.8,street_center,,Skipper Rd,Macon,GA,Bibb County,31216,US
"Amazon.com.indc, LLC",IND1,Y,F,4255 Anson Blvd ,Whitestown,Indiana,USA,46075-4412,"1,000,000",August,2008,40.022608,-86.346179,0.33,place,,,Whitestown,IN,Boone County,46075,US
Amazon.com.indc LLC,"IND2/IND3",Y,F,715 & 717 Airtech Parkway,Plainfield,Indiana,USA,46168,"947,333",October,2008,39.70421,-86.39944,0.33,place,,,Plainfield,IN,Hendricks County,46168,US
"Amazon.com.indc, LLC ",IND4,Y,F,710 Soth Girls School Road,Indianapolis,Indiana,USA,46231-1132,"902,852",June,2011,39.703844,-86.30294,0.33,place,,,Indianapolis,IN,Marion County,46231,US
"Amazon.com.indc, LLC ",IND5,Y,F,800 South Perry Road,Plainfield,Indiana,USA,46168-7937,"925,800",August,2011,39.694926,-86.35583,0.9,range_interpolation,800,Perry Rd,Plainfield,IN,Hendricks County,46168,US
"Amazon.com.indc, LLC ",IND7,Y,F,9101 Orly Drive,Indianapolis,Indiana,USA,46241,,September,2016,39.743772,-86.329746,0.8,street_center,,Oriole Ct,Indianapolis,IN,Hendricks County,46231,US
Amazon.com.indc LLC,SDF8,Y,F,900 Patrol Road,Jeffersonville,Indiana,USA,47130-7761,"1,200,000",October,2012,38.333402,-85.697211,0.33,place,,,Jeffersonville,IN,Clark County,47130,US
"Amazon.com.indc, LLC",XUSE,Y,F,5100 S. Indianapolis Road,Whitestown,Indiana,USA,46075,"624,000",October,2013,39.965915,-86.381722,0.9,range_interpolation,5100,Indianapolis Rd,Whitestown,IN,Boone County,46075,US
