Business Unit,Name,Open,F=Fulfillment,Address,City,State,Country,Zip, SqFt ,Month,Year
"Amazon.com.azdc, LLC","PHX7/
PHX8",Y,F,800 N. 75th Ave,Phoenix,Arizona,USA,85043-3101," 1,260,000 ",September,2011
"Amazon.com.azdc, Inc.","PHX6/
TFC1",Y,F,4750 & 5050 West Mohave Street,Phoenix,Arizona,USA,85043-4428," 1,207,000 ",October,2010
"Amazon.com.azdc, Inc.",PHX3,Y,F,6835 West Buckeye Road,Phoenix,Arizona,USA,85043-4428," 1,009,351 ",September,2007
Golden State FC LLC,ONT6,Y,F,24208 San Michelle Rd,Moreno Valley,California,USA,92551-9561 ," 1,250,000 ",August,2014
Golden State FC LLC,"OAK4
OAK6
OAK7",Y,F,1555 N. Chrisman Rd.,Tracy,California,USA,95304-9370," 1,200,000 ",October,2013
Golden State FC LLC,"SNA7/
SNA8",Y,F,"555 East Orange Road, Gateway South Building 3",San Bernardino,California,USA,92408-2453," 1,102,639 ",March,2016
Golden State FC LLC,"SNA6/
SNA9",Y,F,5250 Goodman Way,Eastvale,California,USA,91752-5088," 1,033,192 ",October,2016
Golden State FC LLC,SJC7,Y,F,188 Mountain House Parkway,Tracy,California,USA,95377-8906 ," 1,001,380 ",October,2016
Golden State FC LLC,,N,F,"Goodman Commerce Center, Antu-Galleano Ranch Road Exit on the I-15",Eastvale,California,USA,91752," 1,000,000 ",,2018
Golden State FC LLC,OAK3,Y,F,255 Park Center Drive,Patterson,California,USA,95363-8876," 1,000,000 ",October,2013
Golden State FC LLC,"ONT2/
ONT3",Y,F,"1910 E. Central Ave., Building 3",San Bernardino,California,USA,92408-0123," 951,660 ",October,2012
Golden State FC LLC,SNA4,Y,F,2496 W Walnut Ave.,Rialto,California,USA,92376-3009," 882,200 ",November,2015
Golden State FC LLC,SMF1,N,F,4900 W Elkhorn Blvd,Sacramento,California,USA,95835-9505," 855,000 ",Q3,2017
Golden State FC LLC,,N,F,South Orange Avenue near Central Avenue,Fresno,California,USA,," 855,000 ",July,2018
Golden State FC LLC,DEN2,N,F,240006 E. 19th Avenue,Aurora,Colorado,USA,80019," 1,000,000 ",December ,2017
